,precision,recall,f1-score,support
Normal,0.9085163148199124,0.9227204301075269,0.9155632848592188,93000.0
Reconnaissance,0.892750497677505,0.7695002502323586,0.8265560803286872,13987.0
Backdoor,0.4533333333333333,0.08759124087591241,0.14681540122346168,2329.0
DoS,0.3291350250046305,0.32599523023298477,0.32755760368663595,16353.0
Exploits,0.6406876246557128,0.7575294778214486,0.6942266131522075,44525.0
Analysis,0.515686274509804,0.0982443033246171,0.16504549733291496,2677.0
Fuzzers,0.6415076866086312,0.5713932195001238,0.6044238907552026,24246.0
Worms,0.6375838926174496,0.5459770114942529,0.5882352941176471,174.0
Shellcode,0.6390773405698779,0.6234281932495036,0.6311557788944724,1511.0
Generic,0.9941350486739362,0.9818246674933329,0.9879415107723073,58871.0
accuracy,0.8103099665079384,0.8103099665079384,0.8103099665079384,0.8103099665079384
macro avg,0.6652413038470792,0.5684204024332062,0.5887520955122756,257673.0
weighted avg,0.8090893916323101,0.8103099665079384,0.8057932742506088,257673.0
