Feature_1,Feature_2,Correlation,Absolute_Correlation
is_ftp_login,ct_ftp_cmd,0.9988554882935945,0.9988554882935945
dbytes,dloss,0.9967111338314709,0.9967111338314709
sbytes,sloss,0.995771577240686,0.995771577240686
swin,dwin,0.9804584289136614,0.9804584289136614
dpkts,dloss,0.9796120849360007,0.9796120849360007
ct_srv_src,ct_srv_dst,0.9794668130725328,0.9794668130725328
dpkts,dbytes,0.9734453279792993,0.9734453279792993
spkts,sloss,0.9718594116511157,0.9718594116511157
spkts,sbytes,0.9643932171558754,0.9643932171558754
ct_dst_ltm,ct_src_dport_ltm,0.9615176986568873,0.9615176986568873
ct_dst_src_ltm,ct_srv_dst,0.960321213106398,0.960321213106398
ct_srv_src,ct_dst_src_ltm,0.9539519771685916,0.9539519771685916
tcprtt,synack,0.9430527539835085,0.9430527539835085
sinpkt,is_sm_ips_ports,0.9421206232319632,0.9421206232319632
tcprtt,ackdat,0.9202175911910093,0.9202175911910093
ct_src_dport_ltm,ct_src_ltm,0.9094302805367575,0.9094302805367575
ct_src_dport_ltm,ct_dst_sport_ltm,0.9083371617417906,0.9083371617417906
ct_dst_ltm,ct_src_ltm,0.9015817705704524,0.9015817705704524
ct_src_dport_ltm,ct_dst_src_ltm,0.8718465657501453,0.8718465657501453
ct_dst_ltm,ct_dst_sport_ltm,0.8711178093975873,0.8711178093975873
ct_src_dport_ltm,ct_srv_dst,0.8667171818381492,0.8667171818381492
ct_srv_src,ct_src_dport_ltm,0.8618545947586924,0.8618545947586924
ct_dst_ltm,ct_dst_src_ltm,0.857494026584352,0.857494026584352
ct_dst_ltm,ct_srv_dst,0.8530854336257346,0.8530854336257346
ct_srv_src,ct_dst_ltm,0.8409951124111219,0.8409951124111219
ct_dst_sport_ltm,ct_dst_src_ltm,0.8364220970632392,0.8364220970632392
ct_dst_sport_ltm,ct_srv_dst,0.8228732004059853,0.8228732004059853
ct_dst_sport_ltm,ct_src_ltm,0.8177468268817968,0.8177468268817968
ct_srv_src,ct_dst_sport_ltm,0.8148560554331603,0.8148560554331603
ct_dst_src_ltm,ct_src_ltm,0.8025514215953785,0.8025514215953785
ct_srv_src,ct_src_ltm,0.7942324238395261,0.7942324238395261
ct_src_ltm,ct_srv_dst,0.792327511382781,0.792327511382781
stcpb,dwin,0.7842487673985195,0.7842487673985195
dtcpb,dwin,0.7837880908218406,0.7837880908218406
swin,stcpb,0.7694339964298297,0.7694339964298297
swin,dtcpb,0.7687067526530598,0.7687067526530598
dttl,dwin,0.7637549036274037,0.7637549036274037
dttl,swin,0.7482934838563758,0.7482934838563758
synack,ackdat,0.7376147921844188,0.7376147921844188
dttl,tcprtt,0.7305002717034159,0.7305002717034159
dttl,ackdat,0.7230347505216553,0.7230347505216553
dinpkt,sjit,0.6924647524471537,0.6924647524471537
dttl,synack,0.6457139433774799,0.6457139433774799
stcpb,dtcpb,0.641997621545517,0.641997621545517
sttl,ct_state_ttl,0.6314306380218786,0.6314306380218786
dttl,dtcpb,0.6013527414561317,0.6013527414561317
