,precision,recall,f1-score,support
Normal,0.8981884171333813,0.9260322580645162,0.9118978415209416,93000.0
Reconnaissance,0.7253279090972855,0.7393293772789018,0.7322617193032148,13987.0
Backdoor,0.1547008547008547,0.07771575783598111,0.1034581308945413,2329.0
DoS,0.35256530727306895,0.45887604720846326,0.3987565427637697,16353.0
Exploits,0.6778846153846154,0.6871869736103313,0.6825040987720413,44525.0
Analysis,0.4763358778625954,0.11654837504669406,0.1872749099639856,2677.0
Fuzzers,0.655853244026792,0.5411614286892683,0.5930127451866583,24246.0
Worms,0.5,0.23563218390804597,0.3203125,174.0
Shellcode,0.5271199388846448,0.456651224354732,0.48936170212765956,1511.0
Generic,0.9952669672315213,0.9786991897538686,0.9869135506414758,58871.0
accuracy,0.8015003512203451,0.8015003512203451,0.8015003512203451,0.8015003512203451
macro avg,0.596324313159476,0.5217832815750802,0.5405753741174288,257673.0
weighted avg,0.8019392962151112,0.8015003512203451,0.7993628675039085,257673.0
