,count,min,max,mean,std,25%,50%,75%
dur,257673.0,0.0,59.999989,1.2467150990092095,5.974305404543927,8e-06,0.004285,0.685777
spkts,257673.0,1.0,10646.0,19.777143899438435,135.9471522771517,2.0,4.0,12.0
dpkts,257673.0,0.0,11018.0,18.51470274339958,111.98596523102219,0.0,2.0,10.0
sbytes,257673.0,24.0,14355774.0,8572.951803254513,173773.88060490356,114.0,528.0,1362.0
dbytes,257673.0,0.0,14657531.0,14387.287542738277,146199.28193837986,0.0,178.0,1064.0
rate,257673.0,0.0,1000000.003,91253.91244024507,160344.6366932668,30.789277,2955.664893,125000.0003
sttl,257673.0,0.0,255.0,180.00093141307005,102.4882680176242,62.0,254.0,254.0
dttl,257673.0,0.0,254.0,84.7549568639322,112.76213134623771,0.0,29.0,252.0
sload,257673.0,0.0,5988000256.0,70608691.22821736,185731252.8417317,12318.00488,743942.3125,80000000.0
dload,257673.0,0.0,22422730.0,658214.2824903153,2412372.138167085,0.0,1747.441284,22105.38477
sloss,257673.0,0.0,5319.0,4.889317080175261,65.57495337938032,0.0,0.0,3.0
dloss,257673.0,0.0,5507.0,6.7436906466723325,53.7022219922424,0.0,0.0,2.0
sinpkt,257673.0,0.0,84371.496,912.3008341995591,6922.153239419039,0.008,0.381696,58.094727
dinpkt,257673.0,0.0,57739.24,98.915461567933,1094.0486911895325,0.0,0.007,56.438859
sjit,257673.0,0.0,1483830.917,5419.372970333271,49034.49643796431,0.0,0.673637,2787.367296
djit,257673.0,0.0,463199.2401,582.2514561381402,3930.1533686883095,0.0,0.0,119.712937
swin,257673.0,0.0,255.0,121.7536606474097,127.36744261798214,0.0,0.0,255.0
stcpb,257673.0,0.0,4294958913.0,1006120340.1778029,1367794569.6251197,0.0,0.0,2007375255.0
dtcpb,257673.0,0.0,4294881924.0,1002295002.1407249,1363877092.4208252,0.0,0.0,1992751879.0
dwin,257673.0,0.0,255.0,119.25462892891377,127.23047696692493,0.0,0.0,255.0
tcprtt,257673.0,0.0,3.821465,0.046038096482751395,0.09290833731300241,0.0,0.0,0.082082
synack,257673.0,0.0,3.226788,0.023651860963313967,0.05385636726164228,0.0,0.0,0.036842
ackdat,257673.0,0.0,2.928778,0.02238623551943742,0.04577063321822746,0.0,0.0,0.044665
smean,257673.0,24.0,1504.0,137.6390269838128,205.90111770732503,57.0,73.0,100.0
dmean,257673.0,0.0,1500.0,121.64970330612832,254.04101321400012,0.0,44.0,89.0
trans_depth,257673.0,0.0,172.0,0.1022419888773756,0.7105927643597818,0.0,0.0,0.0
response_body_len,257673.0,0.0,6558056.0,1968.900121471788,49625.23372487006,0.0,0.0,0.0
ct_srv_src,257673.0,1.0,63.0,9.383175575244593,10.829705811017572,2.0,5.0,12.0
ct_state_ttl,257673.0,0.0,6.0,1.3249777819173914,0.9922997691031127,1.0,1.0,2.0
ct_dst_ltm,257673.0,1.0,59.0,6.050467064845754,8.173749214246516,1.0,2.0,6.0
ct_src_dport_ltm,257673.0,1.0,59.0,5.2382709868709565,8.1608218899091,1.0,1.0,4.0
ct_dst_sport_ltm,257673.0,1.0,46.0,4.032677075207724,5.831515225173218,1.0,1.0,3.0
ct_dst_src_ltm,257673.0,1.0,65.0,8.3229636011534,11.120754470653859,1.0,3.0,8.0
is_ftp_login,257673.0,0.0,4.0,0.012818572376616875,0.11609072785399188,0.0,0.0,0.0
ct_ftp_cmd,257673.0,0.0,4.0,0.012849619478952004,0.1164211244777438,0.0,0.0,0.0
ct_flw_http_mthd,257673.0,0.0,30.0,0.13200451735338975,0.6818536452907503,0.0,0.0,0.0
ct_src_ltm,257673.0,1.0,60.0,6.800045018298386,8.396266203511304,2.0,3.0,8.0
ct_srv_dst,257673.0,1.0,62.0,9.12104877111688,10.874751841138128,2.0,4.0,11.0
is_sm_ips_ports,257673.0,0.0,1.0,0.014273905298576103,0.1186179393305712,0.0,0.0,0.0
