,Count,Percentage
dload,57556,22.33683777500941
ct_src_dport_ltm,49014,19.021783423175886
ct_dst_sport_ltm,48244,18.72295506320026
ct_dst_src_ltm,43419,16.85042670361272
ct_dst_ltm,42388,16.450307172268726
dbytes,40024,15.53286529826563
dloss,39660,15.391600982640789
spkts,34871,13.533043819104057
ct_srv_dst,34048,13.213646753831407
dmean,33189,12.880278492507946
smean,32653,12.672262906862574
sbytes,32164,12.482487493839091
dpkts,29737,11.540596026747078
djit,29010,11.258455484276583
ct_src_ltm,28194,10.941775040458255
ct_srv_src,28068,10.892875854280424
trans_depth,25422,9.865992944545994
ct_flw_http_mthd,25420,9.865216766987617
rate,23541,9.135997950891246
sjit,23533,9.132893240657733
sload,22034,8.55114816065323
dur,21597,8.381553364147583
synack,21327,8.276769393766518
sinpkt,20319,7.885575904343877
dinpkt,17588,6.82570544837837
sloss,16966,6.584314227722733
response_body_len,16951,6.578492896034898
tcprtt,12442,4.828600590671122
ackdat,8557,3.3208756835213626
ct_state_ttl,3763,1.460378076088686
is_sm_ips_ports,3678,1.4273905298576104
ct_ftp_cmd,3247,1.2601242660270964
is_ftp_login,3245,1.2593480884687183
sttl,0,0.0
dwin,0,0.0
dttl,0,0.0
swin,0,0.0
stcpb,0,0.0
dtcpb,0,0.0
